Observations,Score,Comments
"Is the software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",Y,Installation guide is provided for both mac and windows users.
,,
Software's accessibility,,
Does the software adhere to appropriate accessibility conventions or standards?,Y,
Does the documentation adhere to appropriate accessibility conventions or standards?,Y,
,,
Software's Realising Cycle,,
Is the source code stored in a repository under revision control?,Y,Github
Is each source code release a snapshot of the repository?,Y,
Are releases tagged in the repository?,Y,
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Y,Main branch is always stable.
Do the sofware back-up it's repository?,Y,
,,
Software's Installation and Build,,
Do it provide publicly-available instructions for building the software from the source code?,Y,
"Can it build, or package, the software using an automated tool?* e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",N,
Do it provide publicly-available instructions for deploying the software?,Y,
Does the documentation list all third-party dependencies?,Y,
Does the documentation list the version number for all third-party dependencies?,Y,
"Does the software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",N,
"Can it download dependencies using a dependency management tool or package manager?* e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Y,Node Package Manager (npm)
Do it have tests that can be run after the software has been built or deployed to show whether the build or deployment has been successful?,Y,https://github.com/drs1951/CSC510_Group31/tree/main/docs/test
,,
Software's Testing,,
Do it have an automated test suite for the software?,N,
Do it have a framework to periodically (e.g. nightly) run the tests on the latest version of the source code?,N,
"Do it use continuous integration, automatically running tests whenever changes are made to the source code?",N,No GitHub Actions are present for the same
Are the test results publicly visible?,Y,https://github.com/drs1951/86_Backend/blob/main/docs/backend_testing.md#test-cases-for-backend-apis
Are all manually-run tests documented?,Y,"Backend: https://github.com/drs1951/86_Backend/blob/main/docs/backend_testing.md, Frontend: https://github.com/drs1951/CSC510_Group31/blob/main/docs/frontend_testing.md"
,,
Software's Community Engagement,,
"Does the project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?* e.g. release announcements, publications, workshops, conference presentations",N,
Does the website state how many projects and users are associated with the project?,N,"As it is on github, so we can see how many user has forked it, but other then it no states are provided on readme or documentation."
Do it provide success stories on the website?,N,
Do it list the important partners and collaborators on their website?,Y,
Do it list the project's publications on their website or link to a resource where these are available?,Y,https://zenodo.org/records/10023690
Do it list third-party publications that refer to the software on the website or link to a resource where these are available?,N,
Can users subscribe to notifications to changes to the source code repository?,Y,You can subscribe to github repository
"If the software is developed as an open source project (and, not just a project developing open source software), do it have a governance model?",N/A,
,,
Software's Contribution Management,,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Y,https://github.com/drs1951/CSC510_Group31/blob/main/CONTRIBUTING.md
Do you have a contributions policy?,Y,
Is your contributions' policy publicly available?,Y,
Do contributors keep the copyright/IP of their contributions?,N,
,,
Software's Licensing,,
Does the website and documentation clearly state the copyright owners of the software and documentation?,Y,
Does each of the source code files include a copyright statement?,N,
Does the website and documentation clearly state the licence of your software?,Y,Yes it is on MIT Licence and clearly stated it
Is the software released under an open source licence?,Y,
Is the software released under an OSI-approved open-source licence?,Y,
Does each of the source code files include a licence header?,N,
Do it have a recommended citation for your software?,Y,Yes Citation.md file is present https://github.com/drs1951/CSC510_Group31/blob/main/CITATION.md
,,
Software's Future Plan,,
"Does the website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)",Y,https://github.com/users/drs1951/projects/1
"Does the website or documentation describe how the project is funded, and the period over which funding is guaranteed?",N/A,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",N,
,,
,,
Workload is spread over the whole team,3,Can see commit's from different people on github Insights
Number of commits,3,"It has 125+ commits, which is good amount of commit on project done for small duration"
Number of commits: by different people,3,Evenly Spreaded
Issues reports,3,There are 18 Issues reported
Issues are being closed,3,All issues except future work have been closed
DOI badge: exists,3,"There are certain badges exist like licence, buildpassing, issues closed, etc"
"Docs: doco generated, format not ugly",N/A,No Doc's Auto generation is implemented
Docs: what: point descriptions of each class/function (in isolation),3,Each and every functioanlity are described through seperate Readme file
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,"Sceeming though readme provides some basic level info of what does the software do and why should I use it, but it could be better"
Use of version control tools,3,
Use of style checkers,0,
Use of code formatters.,0,
Use of syntax checkers.,0,
Use of code coverage,3,We get code coverage on running backend test cases
Other automated analysis tools,0,
Test cases exist,3,"Backend: https://github.com/drs1951/86_Backend/blob/main/docs/backend_testing.md, Frontend: https://github.com/drs1951/CSC510_Group31/blob/main/docs/frontend_testing.md"
Test cases are routinely executed,0,No automation on that provided
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,
Issues are discussed before they are closed,2,Some issue are not discussed thoroughly.
Chat channel: exists,3,https://github.com/jaypatel31/CSC510_Group31/discussions
Test cases: a large proportion of the issues related to handling failing cases.,3,Most Issues were related to bug fixes as even basic functionality was missing 
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
Evidence that the members of the team are working across multiple places in the code base,3,Can been seen through commit history
Short release cycles,3,hard to see in short projects. Regular commits are made so that every team member has the latest code
